id fam grp bmi smoke edu height cardio menarche
122083 12083 mes 4.25206e-06 -6.24283e-05 7.53213e-07 -4.45288e-05 4.00602e-05 -1.53036e-05
122084 12084 mes -5.91628e-07 -3.84519e-05 -2.78878e-06 -4.34935e-05 5.94768e-05 -2.77759e-05
122085 12085 mes 7.68352e-06 -4.85049e-05 -3.74353e-06 -5.2533e-05 7.8795e-05 -1.49719e-05
201002 20002 mes 3.93377e-06 -4.50551e-05 4.43801e-06 -2.90578e-05 1.0028e-05 -1.42375e-05
201003 20003 mes 4.63675e-06 -5.05966e-05 4.24405e-06 -4.06643e-05 1.95484e-05 -2.68336e-05
201004 20004 mes 1.45536e-05 -6.87958e-05 -4.82594e-06 -4.19705e-05 5.2193e-05 -1.97165e-05
201005 20005 mes 7.70101e-06 -2.63302e-05 8.27185e-06 -4.91856e-05 2.22118e-05 -1.35198e-05
201006 20006 mes 5.21523e-06 -4.16174e-05 4.2188e-06 -2.27254e-05 1.80143e-05 -1.23613e-06
201007 20007 mes 1.09118e-05 -5.17642e-05 -1.73991e-06 -3.12546e-05 3.56615e-05 -2.16053e-05
201008 20008 mes 1.66596e-05 -3.23768e-05 2.18966e-06 -3.71289e-05 4.38639e-05 -2.44352e-05
201010 20010 mes 1.85438e-06 -6.667e-05 4.78383e-06 -3.65303e-05 2.55123e-05 -1.03164e-05
201516 20016 nat 1.35663e-05 -4.05088e-05 8.8352e-07 -4.99194e-05 4.95573e-05 -1.17324e-05
201519 20019 nat 3.87009e-06 -5.21015e-05 4.49412e-06 -4.76676e-05 5.49063e-05 -1.0504e-05
201520 20020 nat 1.26628e-05 -2.7125e-05 6.59907e-06 -4.32904e-05 1.25779e-05 -2.373e-05
201529 20029 nat 8.00842e-06 -6.92644e-05 -8.13341e-06 -5.79819e-05 3.32059e-05 -1.53257e-05
201541 20041 nat 4.139e-06 -6.21728e-05 -3.14013e-06 -4.84913e-05 2.11127e-06 -1.25045e-05
201543 20043 nat 8.62973e-06 -4.58175e-05 5.48347e-06 -3.37227e-05 6.42405e-05 -1.3388e-05
201545 20045 nat 4.51457e-06 -4.0427e-05 1.24584e-05 -4.87634e-05 2.62816e-05 -1.26858e-05
201555 20055 nat -3.24981e-06 -2.74307e-05 2.677e-06 -4.54826e-05 4.64016e-05 -2.03103e-05
201559 20059 nat 1.63306e-05 -3.37318e-05 4.38221e-06 -4.28435e-05 3.17006e-05 -2.60145e-05
201569 20069 nat 8.95836e-06 -3.84341e-05 -3.68e-06 -4.78038e-05 9.31401e-06 -9.31804e-06
201604 20004 nat 1.73681e-06 -3.48809e-05 -2.42162e-06 -3.96172e-05 3.79478e-05 -5.96416e-06
201606 20006 nat 1.03846e-05 -4.50845e-05 2.89829e-06 -4.06397e-05 2.6036e-05 -1.82536e-05
201607 20007 nat 2.89971e-06 -4.89525e-06 1.37551e-07 -3.80696e-05 2.63599e-05 -1.90189e-05
201901 20001 nat 1.41071e-05 -4.61487e-05 6.14211e-07 -4.09808e-05 3.70109e-05 -1.80715e-05
201903 20003 nat 7.1968e-06 -9.82314e-06 -1.34914e-06 -4.13681e-05 3.1381e-05 -2.56942e-05
201904 20004 nat 1.0587e-05 -4.71114e-05 -3.18741e-06 -4.47867e-05 1.29935e-05 -1.14915e-05
201906 20006 nat 1.19005e-05 -2.14509e-05 -7.42772e-07 -5.31458e-05 -8.33779e-06 -5.1156e-07
201907 20007 nat 7.19369e-06 -4.44573e-05 5.31534e-06 -4.89599e-05 5.36291e-05 -2.44855e-05
201908 20008 nat 2.89989e-06 -8.46319e-06 1.30409e-05 -4.3638e-05 3.58079e-05 -7.96075e-06
201910 20010 nat 7.90041e-06 -6.4091e-05 7.31955e-06 -4.61817e-05 -3.51322e-07 -2.7647e-05
201911 20011 nat 5.67271e-06 -2.29249e-05 1.85187e-06 -4.08253e-05 2.76325e-05 -3.03806e-05
201912 20012 nat 1.43741e-05 -1.64174e-06 -1.63197e-06 -4.60031e-05 2.02319e-05 -1.62391e-05
201913 20013 nat 6.68327e-06 -2.11321e-05 -2.52538e-06 -4.49185e-05 4.77377e-05 -1.09497e-05
